x1.1,x1.2,x1.3,x1.4,y
0.354,0.622,0.762,0.272,40.1
0.379,0.63,0.772,0.234,40.3
0.369,0.626,0.774,0.24,39.9
0.343,0.618,0.837,0.279,40.1
0.352,0.599,0.779,0.299,40.3
0.28,0.408,0.684,0.732,41
0.276,0.47,0.721,0.75,41.1
0.312,0.369,0.696,0.725,40.9
0.287,0.353,0.678,0.766,40.95
0.288,0.365,0.651,0.752,41
0.289,0.468,0.652,0.747,41.1
0.298,0.444,0.642,0.762,40.9
0.287,0.472,0.648,0.772,40.95
0.225,0.371,0.568,0.678,40.1
0.209,0.377,0.574,0.747,40.2
0.222,0.362,0.55,0.772,39.9
0.224,0.343,0.565,0.769,40.1
0.239,0.343,0.566,0.779,40.2
0.253,0.333,0.568,0.78,39.9
0.229,0.337,0.57,0.779,40.1
0.224,0.327,0.561,0.711,40.2
0.23,0.345,0.564,0.752,39.9
0.233,0.337,0.57,0.768,40.1
0.282,0.357,0.571,0.774,40.2
0.241,0.371,0.574,0.774,39.9
0.27,0.369,0.571,0.775,40.1
0.225,0.358,0.554,0.758,40.2
0.209,0.351,0.558,0.673,39.9
